term,replacement
EC 1−3−1−25,1 6-Dihydroxycyclohexa-2 4-diene-1-carboxylate dehydrogenase
EC 1.3.1.25,1 6-Dihydroxycyclohexa-2 4-diene-1-carboxylate dehydrogenase
1 8-Diazabicyclo[5.4.0]undec-7-ene,1 8-Diazabicyclo[5.4.0]undec-7-ene
1-Acylglycerol-3-phosphate O-acyltransferase,1-Acylglycerol-3-phosphate O-acyltransferase
EC 2−3−1−51,1-Acylglycerol-3-phosphate O-acyltransferase
1-Acylglycerophosphate acyltransferase,1-Acylglycerol-3-phosphate O-acyltransferase
EC 2.3.1.51,1-Acylglycerol-3-phosphate O-acyltransferase
Acyltransferases,Acyltransferases
EC 2-3.,Acyltransferases
EC 2.3.,Acyltransferases
1-Acylglycerophosphocholine O-acyltransferase,1-Acylglycerophosphocholine O-acyltransferase
EC 2−3−1−23,1-Acylglycerophosphocholine O-acyltransferase
Lysolecithin acyltransferase,1-Acylglycerophosphocholine O-acyltransferase
EC 2.3.1.23,1-Acylglycerophosphocholine O-acyltransferase
Transferases,Transferases
EC 2.,Transferases
1-Alkenyl-2-acylglycerol cholinephosphotransferase,1-Alkenyl-2-acylglycerol cholinephosphotransferase
EC 2−7−8−22,1-Alkenyl-2-acylglycerol cholinephosphotransferase
EC 2.7.8.22,1-Alkenyl-2-acylglycerol cholinephosphotransferase
1-Alkenylglycerophosphocholine O-acyltransferase,1-Alkenylglycerophosphocholine O-acyltransferase
EC 2−3−1−104,1-Alkenylglycerophosphocholine O-acyltransferase
EC 2.3.1.104,1-Alkenylglycerophosphocholine O-acyltransferase
1-Alkenylglycerophosphoethanolamine O-acyltransferase,1-Alkenylglycerophosphoethanolamine O-acyltransferase
EC 2−3−1−121,1-Alkenylglycerophosphoethanolamine O-acyltransferase
EC 2.3.1.121,1-Alkenylglycerophosphoethanolamine O-acyltransferase
1-Alkyl-2-acetylglycerol O-acyltransferase,1-Alkyl-2-acetylglycerol O-acyltransferase
EC 2−3−1−125,1-Alkyl-2-acetylglycerol O-acyltransferase
1-Hexadecyl-2-acetylglycerol acyltransferase,1-Alkyl-2-acetylglycerol O-acyltransferase
EC 2.3.1.125,1-Alkyl-2-acetylglycerol O-acyltransferase
1-Alkyl-2-acetylglycerophosphocholine esterase,1-Alkyl-2-acetylglycerophosphocholine esterase
EC 3−1−1−47,1-Alkyl-2-acetylglycerophosphocholine esterase
EC 3.1.1.47,1-Alkyl-2-acetylglycerophosphocholine esterase
1-Alkylglycerophosphocholine O-acetyltransferase,1-Alkylglycerophosphocholine O-acetyltransferase
EC 2−3−1−67,1-Alkylglycerophosphocholine O-acetyltransferase
1-Alkylglycerophosphocholine acetyltransferase,1-Alkylglycerophosphocholine O-acetyltransferase
EC 2.3.1.67,1-Alkylglycerophosphocholine O-acetyltransferase
1-Alkylglycerophosphocholine O-acyltransferase,1-Alkylglycerophosphocholine O-acyltransferase
EC 2−3−1−63,1-Alkylglycerophosphocholine O-acyltransferase
EC 2.3.1.63,1-Alkylglycerophosphocholine O-acyltransferase
1-Aminocyclopropane-1-carboxylate deaminase,1-Aminocyclopropane-1-carboxylate deaminase
EC 4−1−99−4,1-Aminocyclopropane-1-carboxylate deaminase
EC 4.1.99.4,1-Aminocyclopropane-1-carboxylate deaminase
Carbon-carbon lyases,Carbon-carbon lyases
EC 4−1.,Carbon-carbon lyases
EC 4.1.,Carbon-carbon lyases
1-Aminocyclopropane-1-carboxylate synthase,1-Aminocyclopropane-1-carboxylate synthase
EC 4−4−1−14,1-Aminocyclopropane-1-carboxylate synthase
EC 4.4.1.14,1-Aminocyclopropane-1-carboxylate synthase
Carbon-sulfur lyases,Carbon-sulfur lyases
EC 4−4.,Carbon-sulfur lyases
Carbon-sulphur lyases,Carbon-sulfur lyases
EC 4.4.,Carbon-sulfur lyases
1-Hydroxy-2-naphthoate 1 2-dioxygenase,1-Hydroxy-2-naphthoate 1 2-dioxygenase
EC 1−13−11−38,1-Hydroxy-2-naphthoate 1 2-dioxygenase
EC 1.13.11.38,1-Hydroxy-2-naphthoate 1 2-dioxygenase
(1-Hydroxycyclohexan-1-yl)acetyl-CoA lyase,(1-Hydroxycyclohexan-1-yl)acetyl-CoA lyase
EC 4−1−3−35,(1-Hydroxycyclohexan-1-yl)acetyl-CoA lyase
EC 4.1.3.35,(1-Hydroxycyclohexan-1-yl)acetyl-CoA lyase
Oxo-acid-lyases,Oxo-acid-lyases
EC 4−1−3.,Oxo-acid-lyases
EC 4.1.3.,Oxo-acid-lyases
1-Methyladenosine nucleosidase,1-Methyladenosine nucleosidase
EC 3−2−2−13,1-Methyladenosine nucleosidase
EC 3.2.2.13,1-Methyladenosine nucleosidase
N-Glycosidases,N-Glycosidases
EC 3−2−2.,N-Glycosidases
EC 3.2.2.,N-Glycosidases
1-Phosphatidylinositol 3-kinase,1-Phosphatidylinositol 3-kinase
EC 2−7−1−137,1-Phosphatidylinositol 3-kinase
EC 2.7.1.137,1-Phosphatidylinositol 3-kinase
1-Phosphatidylinositol-4 5-bisphosphate phosphodiesterase,1-Phosphatidylinositol-4 5-bisphosphate phosphodiesterase
EC 3−1−4−11,1-Phosphatidylinositol-4 5-bisphosphate phosphodiesterase
Triphosphoinositide phosphodiesterase,1-Phosphatidylinositol-4 5-bisphosphate phosphodiesterase
EC 3.1.4.11,1-Phosphatidylinositol-4 5-bisphosphate phosphodiesterase
1-Phosphatidylinositol 4-kinase,1-Phosphatidylinositol 4-kinase
EC 2−7−1−67,1-Phosphatidylinositol 4-kinase
EC 2.7.1.67,1-Phosphatidylinositol 4-kinase
1-Phosphatidylinositol-4-phosphate 5-kinase,1-Phosphatidylinositol-4-phosphate 5-kinase
EC 2−7−1−68,1-Phosphatidylinositol-4-phosphate 5-kinase
Diphosphoinositide kinase,1-Phosphatidylinositol-4-phosphate 5-kinase
PIP kinase,1-Phosphatidylinositol-4-phosphate 5-kinase
EC 2.7.1.68,1-Phosphatidylinositol-4-phosphate 5-kinase
1-Phosphatidylinositol phosphodiesterase,1-Phosphatidylinositol phosphodiesterase
EC 3−1−4−10,1-Phosphatidylinositol phosphodiesterase
Phosphatidylinositol phospholipase C,1-Phosphatidylinositol phosphodiesterase
Monophosphatidylinositol phosphodiesterase,1-Phosphatidylinositol phosphodiesterase
EC 3.1.4.10,1-Phosphatidylinositol phosphodiesterase
1-Phosphofructokinase,1-Phosphofructokinase
EC 2−7−1−56,1-Phosphofructokinase
Fructose-1-phosphate kinase,1-Phosphofructokinase
EC 2.7.1.56,1-Phosphofructokinase
1-Pyrroline-4-hydroxy-2-carboxylate deaminase,1-Pyrroline-4-hydroxy-2-carboxylate deaminase
EC 3−5−4−22,1-Pyrroline-4-hydroxy-2-carboxylate deaminase
EC 3.5.4.22,1-Pyrroline-4-hydroxy-2-carboxylate deaminase
Hydrolases,Hydrolases
EC 3.,Hydrolases
1-Pyrroline-5-carboxylate dehydrogenase,1-Pyrroline-5-carboxylate dehydrogenase
EC 1−5−1−12,1-Pyrroline-5-carboxylate dehydrogenase
EC 1.5.1.12,1-Pyrroline-5-carboxylate dehydrogenase
10-Hydroxydihydrosanguinarine 10-O-methyltransferase,10-Hydroxydihydrosanguinarine 10-O-methyltransferase
EC 2-1-1-119,10-Hydroxydihydrosanguinarine 10-O-methyltransferase
EC 2.1.1.119,10-Hydroxydihydrosanguinarine 10-O-methyltransferase
Methyltransferases,Methyltransferases
EC 2−1−1.,Methyltransferases
EC 2.1.1.,Methyltransferases
11-cis-Retinyl-palmitate hydrolase,11-cis-Retinyl-palmitate hydrolase
EC 3−1−1−63,11-cis-Retinyl-palmitate hydrolase
EC 3.1.1.63,11-cis-Retinyl-palmitate hydrolase
11-O-Demethyl-17-O-deacetylvindoline-O-methyltransferase,11-O-Demethyl-17-O-deacetylvindoline-O-methyltransferase
EC 2−1−1−94,11-O-Demethyl-17-O-deacetylvindoline-O-methyltransferase
EC 2.1.1.94,11-O-Demethyl-17-O-deacetylvindoline-O-methyltransferase
11β-Hydroxysteroid dehydrogenase,11β-Hydroxysteroid dehydrogenase
EC 1−1−1−146,11β-Hydroxysteroid dehydrogenase
Corticosteroid 11β-dehydrogenase,11β-Hydroxysteroid dehydrogenase
EC 1.1.1.146,11β-Hydroxysteroid dehydrogenase
12-Hydroxydihydrochelirubine 12-O-methyltransferase,12-Hydroxydihydrochelirubine 12-O-methyltransferase
EC 2-1-1-120,12-Hydroxydihydrochelirubine 12-O-methyltransferase
EC 2.1.1.120,12-Hydroxydihydrochelirubine 12-O-methyltransferase
12-Oxophytodienoate reductase,12-Oxophytodienoate reductase
EC 1−3−1−42,12-Oxophytodienoate reductase
EC 1.3.1.42,12-Oxophytodienoate reductase
12α-Hydroxysteroid dehydrogenase,12α-Hydroxysteroid dehydrogenase
EC 1−1−1−176,12α-Hydroxysteroid dehydrogenase
EC 1.1.1.176,12α-Hydroxysteroid dehydrogenase
12β-Hydroxysteroid dehydrogenase,12β-Hydroxysteroid dehydrogenase
EC 1−1−1−238,12β-Hydroxysteroid dehydrogenase
EC 1.1.1.238,12β-Hydroxysteroid dehydrogenase
13-Hydroxydocosanoate 13-β-glucosyltransferase,13-Hydroxydocosanoate 13-β-glucosyltransferase
EC 2−4−1−158,13-Hydroxydocosanoate 13-β-glucosyltransferase
13-Glucosyloxydocosanoate 2′-β-glucosyltransferase,13-Hydroxydocosanoate 13-β-glucosyltransferase
EC 2.4.1.158,13-Hydroxydocosanoate 13-β-glucosyltransferase
13-Hydroxylupinine O-tigloyltransferase,13-Hydroxylupinine O-tigloyltransferase
EC 2−3−1−93,13-Hydroxylupinine O-tigloyltransferase
EC 2.3.1.93,13-Hydroxylupinine O-tigloyltransferase
15-Hydroxyicosatetraenoate dehydrogenase,15-Hydroxyicosatetraenoate dehydrogenase
EC 1−1−1−232,15-Hydroxyicosatetraenoate dehydrogenase
EC 1.1.1.232,15-Hydroxyicosatetraenoate dehydrogenase
15-Hydroxyprostaglandin-D dehydrogenase (NADP+),15-Hydroxyprostaglandin-D dehydrogenase (NADP+)
EC 1−1−1−196,15-Hydroxyprostaglandin-D dehydrogenase (NADP+)
Prostaglandin-D 15-dehydrogenase (NADP+),15-Hydroxyprostaglandin-D dehydrogenase (NADP+)
EC 1.1.1.196,15-Hydroxyprostaglandin-D dehydrogenase (NADP+)
15-Hydroxyprostaglandin dehydrogenase (NAD+),15-Hydroxyprostaglandin dehydrogenase (NAD+)
EC 1−1−1−141,15-Hydroxyprostaglandin dehydrogenase (NAD+)
EC 1.1.1.141,15-Hydroxyprostaglandin dehydrogenase (NAD+)
15-Hydroxyprostaglandin dehydrogenase (NADP+),15-Hydroxyprostaglandin dehydrogenase (NADP+)
EC 1−1−1−197,15-Hydroxyprostaglandin dehydrogenase (NADP+)
EC 1.1.1.197,15-Hydroxyprostaglandin dehydrogenase (NADP+)
15-Hydroxyprostaglandin-I dehydrogenase (NADP+),15-Hydroxyprostaglandin-I dehydrogenase (NADP+)
EC 1−1−1−231,15-Hydroxyprostaglandin-I dehydrogenase (NADP+)
EC 1.1.1.231,15-Hydroxyprostaglandin-I dehydrogenase (NADP+)
15-Oxoprostaglandin Δ13-reductase,15-Oxoprostaglandin Δ13-reductase
EC 1−3−1−48,15-Oxoprostaglandin Δ13-reductase
EC 1.3.1.48,15-Oxoprostaglandin Δ13-reductase
16-α-Hydroxyprogesterone dehydratase,16-α-Hydroxyprogesterone dehydratase
EC 4−2−1−98,16-α-Hydroxyprogesterone dehydratase
Hydroxyprogesterone dehydroxylase,16-α-Hydroxyprogesterone dehydratase
EC 4.2.1.98,16-α-Hydroxyprogesterone dehydratase
Hydro-lyases,Hydro-lyases
EC 4−2−1.,Hydro-lyases
EC 4.2.1.,Hydro-lyases
16-Dehydroprogesterone hydratase,16-Dehydroprogesterone hydratase
EC 4−2−1−86,16-Dehydroprogesterone hydratase
EC 4.2.1.86,16-Dehydroprogesterone hydratase
16-Hydroxysteroid epimerase,16-Hydroxysteroid epimerase
EC 5−1−99−2,16-Hydroxysteroid epimerase
EC 5.1.99.2,16-Hydroxysteroid epimerase
Isomerases,Isomerases
EC 5.,Isomerases
16-Methoxy-2 3-dihydro-3-hydroxytabersonine N-methyltransferase,16-Methoxy-2 3-dihydro-3-hydroxytabersonine N-methyltransferase
EC 2−1−1−99,16-Methoxy-2 3-dihydro-3-hydroxytabersonine N-methyltransferase
EC 2.1.1.99,16-Methoxy-2 3-dihydro-3-hydroxytabersonine N-methyltransferase
16α-Hydroxysteroid dehydrogenase,16α-Hydroxysteroid dehydrogenase
EC 1−1−1−147,16α-Hydroxysteroid dehydrogenase
EC 1.1.1.147,16α-Hydroxysteroid dehydrogenase
17-O-Deacetylvindoline O-acetyltransferase,17-O-Deacetylvindoline O-acetyltransferase
EC 2−3−1−107,17-O-Deacetylvindoline O-acetyltransferase
EC 2.3.1.107,17-O-Deacetylvindoline O-acetyltransferase
17α-Hydroxyprogesterone aldolase,17α-Hydroxyprogesterone aldolase
EC 4−1−2−30,17α-Hydroxyprogesterone aldolase
EC 4.1.2.30,17α-Hydroxyprogesterone aldolase
Aldehyde-lyases,Aldehyde-lyases
EC 4−1−2.,Aldehyde-lyases
EC 4.1.2.,Aldehyde-lyases
17α-Estradiol,17α-Estradiol
17β-Estradiol,17β-Estradiol
1900-1910,1900-1910
1910-1920,1910-1920
1920-1930,1920-1930
1930-1940,1930-1940
1940-1950,1940-1950
1950-1960,1950-1960
1950-2000,1950-2000
1960-1970,1960-1970
1970-1980,1970-1980
1980,1980
1980-1990,1980-1990
1981,1981
1982,1982
1983,1983
1984,1984
1985,1985
1986,1986
1987,1987
1988,1988
1989,1989
1990,1990
1990-2000,1990-2000
1991,1991
1992,1992
1993,1993
1994,1994
1995,1995
1996,1996
1997,1997
1998,1998
1999,1999
1D-1-Guanidino-3-amino-1 3-dideoxy-scyllo-inositol transaminase,1D-1-Guanidino-3-amino-1 3-dideoxy-scyllo-inositol transaminase
EC 2−6−1−56,1D-1-Guanidino-3-amino-1 3-dideoxy-scyllo-inositol transaminase
1D-1-Guanidino-3-amino-1 3-dideoxy-scyllo-inositol aminotransferase,1D-1-Guanidino-3-amino-1 3-dideoxy-scyllo-inositol transaminase
EC 2.6.1.56,1D-1-Guanidino-3-amino-1 3-dideoxy-scyllo-inositol transaminase
Transaminases,Transaminases
EC 2−6−1.,Transaminases
Aminotransferases,Transaminases
EC 2.6.1.,Transaminases
1D-myo-Inositol-tetrakisphosphate 1-kinase,1D-myo-Inositol-tetrakisphosphate 1-kinase
EC 2−7−1−134,1D-myo-Inositol-tetrakisphosphate 1-kinase
EC 2.7.1.134,1D-myo-Inositol-tetrakisphosphate 1-kinase
1D-myo-Inositol-tetrakisphosphate 5-kinase,1D-myo-Inositol-tetrakisphosphate 5-kinase
EC 2−7−1−140,1D-myo-Inositol-tetrakisphosphate 5-kinase
EC 2.7.1.140,1D-myo-Inositol-tetrakisphosphate 5-kinase
1D-myo-Inositol-trisphosphate 3-kinase,1D-myo-Inositol-trisphosphate 3-kinase
EC 2−7−1−127,1D-myo-Inositol-trisphosphate 3-kinase
EC 2.7.1.127,1D-myo-Inositol-trisphosphate 3-kinase
1D-myo-Inositol-trisphosphate 5-kinase,1D-myo-Inositol-trisphosphate 5-kinase
EC 2−7−1−139,1D-myo-Inositol-trisphosphate 5-kinase
EC 2.7.1.139,1D-myo-Inositol-trisphosphate 5-kinase
1D-myo-Inositol-trisphosphate 6-kinase,1D-myo-Inositol-trisphosphate 6-kinase
EC 2−7−1−133,1D-myo-Inositol-trisphosphate 6-kinase
EC 2.7.1.133,1D-myo-Inositol-trisphosphate 6-kinase
2 2-Dialkylglycine decarboxylase (pyruvate),2 2-Dialkylglycine decarboxylase (pyruvate)
EC 4−1−1−64,2 2-Dialkylglycine decarboxylase (pyruvate)
Dialkylamino-acid decarboxylase (pyruvate),2 2-Dialkylglycine decarboxylase (pyruvate)
EC 4.1.1.64,2 2-Dialkylglycine decarboxylase (pyruvate)
Carboxy-lyases,Carboxy-lyases
EC 4−1−1.,Carboxy-lyases
EC 4.1.1.,Carboxy-lyases
2 3 4 5-Tetrahydropyridine-2-carboxylate N-succinyltransferase,2 3 4 5-Tetrahydropyridine-2-carboxylate N-succinyltransferase
EC 2−3−1−117,2 3 4 5-Tetrahydropyridine-2-carboxylate N-succinyltransferase
Tetrahydropicolinate succinylase,2 3 4 5-Tetrahydropyridine-2-carboxylate N-succinyltransferase
EC 2.3.1.117,2 3 4 5-Tetrahydropyridine-2-carboxylate N-succinyltransferase
2′ 3′-Cyclic-nucleotide 2′-phosphodiesterase,2′ 3′-Cyclic-nucleotide 2′-phosphodiesterase
EC 3−1−4−16,2′ 3′-Cyclic-nucleotide 2′-phosphodiesterase
EC 3.1.4.16,2′ 3′-Cyclic-nucleotide 2′-phosphodiesterase
2′ 3′-Cyclic-nucleotide 3′-phosphodiesterase,2′ 3′-Cyclic-nucleotide 3′-phosphodiesterase
EC 3−1−4−37,2′ 3′-Cyclic-nucleotide 3′-phosphodiesterase
Cyclic-CMP phosphodiesterase,2′ 3′-Cyclic-nucleotide 3′-phosphodiesterase
EC 3.1.4.37,2′ 3′-Cyclic-nucleotide 3′-phosphodiesterase
2 3-Diaminopropionate N-oxalyltransferase,2 3-Diaminopropionate N-oxalyltransferase
EC 2−3−1−58,2 3-Diaminopropionate N-oxalyltransferase
2 3-Diaminopropionate oxalyltransferase,2 3-Diaminopropionate N-oxalyltransferase
Oxalyldiaminopropionate synthase,2 3-Diaminopropionate N-oxalyltransferase
EC 2.3.1.58,2 3-Diaminopropionate N-oxalyltransferase
2 3-Dihydro-2 3-dihydroxybenzoate dehydrogenase,2 3-Dihydro-2 3-dihydroxybenzoate dehydrogenase
EC 1−3−1−28,2 3-Dihydro-2 3-dihydroxybenzoate dehydrogenase
EC 1.3.1.28,2 3-Dihydro-2 3-dihydroxybenzoate dehydrogenase
2 3-Dihydroxybenzoate 2 3-dioxygenase,2 3-Dihydroxybenzoate 2 3-dioxygenase
EC 1−13−11−28,2 3-Dihydroxybenzoate 2 3-dioxygenase
EC 1.13.11.28,2 3-Dihydroxybenzoate 2 3-dioxygenase
2 3-Dihydroxybenzoate 3 4-dioxygenase,2 3-Dihydroxybenzoate 3 4-dioxygenase
EC 1−13−11−14,2 3-Dihydroxybenzoate 3 4-dioxygenase
o-Pyrocatechuate oxygenase,2 3-Dihydroxybenzoate 3 4-dioxygenase
EC 1.13.11.14,2 3-Dihydroxybenzoate 3 4-dioxygenase
2 3-Dihydroxybenzoate-serine ligase,2 3-Dihydroxybenzoate-serine ligase
EC 6−3−2−14,2 3-Dihydroxybenzoate-serine ligase
N-(2 3-Dihydroxybenzoyl)-serine synthetase,2 3-Dihydroxybenzoate-serine ligase
2 3-Dihydroxybenzoateserine synthetase,2 3-Dihydroxybenzoate-serine ligase
EC 6.3.2.14,2 3-Dihydroxybenzoate-serine ligase
Carbon-nitrogen ligases,Carbon-nitrogen ligases
EC 6−3.,Carbon-nitrogen ligases
EC 6.3.,Carbon-nitrogen ligases
(2 3-Dihydroxybenzoyl)adenylate synthase,(2 3-Dihydroxybenzoyl)adenylate synthase
EC 2−7−7−58,(2 3-Dihydroxybenzoyl)adenylate synthase
2 3-Dihydroxybenzoate-AMP ligase,(2 3-Dihydroxybenzoyl)adenylate synthase
EC 2.7.7.58,(2 3-Dihydroxybenzoyl)adenylate synthase
Nucleotidyltransferases,Nucleotidyltransferases
EC 2−7−7.,Nucleotidyltransferases
EC 2.7.7.,Nucleotidyltransferases
2 3-Dihydroxyindole 2 3-dioxygenase,2 3-Dihydroxyindole 2 3-dioxygenase
EC 1−13−11−23,2 3-Dihydroxyindole 2 3-dioxygenase
EC 1.13.11.23,2 3-Dihydroxyindole 2 3-dioxygenase
2 3-Dimethylmalate synthase,2 3-Dimethylmalate synthase
EC 4−1−3−32,2 3-Dimethylmalate synthase
EC 4.1.3.32,2 3-Dimethylmalate synthase
2 4 5-T,2 4 5-T
2 4-D,2 4-D
2 4-Diaminopentanoate dehydrogenase,2 4-Diaminopentanoate dehydrogenase
EC 1−4−1−12,2 4-Diaminopentanoate dehydrogenase
EC 1.4.1.12,2 4-Diaminopentanoate dehydrogenase
2 4-Dichlorophenol 6-monooxygenase,2 4-Dichlorophenol 6-monooxygenase
EC 1−14−13−20,2 4-Dichlorophenol 6-monooxygenase
2 4-Dichlorophenol hydroxylase,2 4-Dichlorophenol 6-monooxygenase
EC 1.14.13.20,2 4-Dichlorophenol 6-monooxygenase
2 4-Dienoyl-CoA reductase (NADPH),2 4-Dienoyl-CoA reductase (NADPH)
EC 1−3−1−34,2 4-Dienoyl-CoA reductase (NADPH)
4-Enoyl-CoA reductase (NADPH),2 4-Dienoyl-CoA reductase (NADPH)
EC 1.3.1.34,2 4-Dienoyl-CoA reductase (NADPH)
2 4-Dihydroxy-7-methoxy-2H-1 4-benzoxazin-3(4H)-one 2-D-glucosyltransferase,2 4-Dihydroxy-7-methoxy-2H-1 4-benzoxazin-3(4H)-one 2-D-glucosyltransferase
EC 2−4−1−202,2 4-Dihydroxy-7-methoxy-2H-1 4-benzoxazin-3(4H)-one 2-D-glucosyltransferase
EC 2.4.1.202,2 4-Dihydroxy-7-methoxy-2H-1 4-benzoxazin-3(4H)-one 2-D-glucosyltransferase
2 4′-Dihydroxyacetophenone dioxygenase,2 4′-Dihydroxyacetophenone dioxygenase
